rank,category,strategy_name,description,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,num_trades,composite_score,parameters
1,unknown,Single_SMA_50_M1_position,Unknown strategy on M1,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M1', 'signal_type': 'position'}"
2,unknown,Single_SMA_50_M2_position,Unknown strategy on M2,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M2', 'signal_type': 'position'}"
3,unknown,Single_SMA_50_M3_position,Unknown strategy on M3,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M3', 'signal_type': 'position'}"
4,unknown,Single_SMA_50_M5_position,Unknown strategy on M5,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M5', 'signal_type': 'position'}"
5,unknown,Single_SMA_50_M10_position,Unknown strategy on M10,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M10', 'signal_type': 'position'}"
6,unknown,Single_SMA_50_M15_position,Unknown strategy on M15,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M15', 'signal_type': 'position'}"
7,unknown,Single_SMA_50_M30_position,Unknown strategy on M30,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M30', 'signal_type': 'position'}"
8,unknown,Single_SMA_50_H1_position,Unknown strategy on H1,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H1', 'signal_type': 'position'}"
9,unknown,Single_SMA_50_H2_position,Unknown strategy on H2,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H2', 'signal_type': 'position'}"
10,unknown,Single_SMA_50_H4_position,Unknown strategy on H4,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H4', 'signal_type': 'position'}"
11,unknown,Single_SMA_50_H6_position,Unknown strategy on H6,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H6', 'signal_type': 'position'}"
12,unknown,Single_SMA_50_H8_position,Unknown strategy on H8,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H8', 'signal_type': 'position'}"
13,unknown,Single_SMA_50_H12_position,Unknown strategy on H12,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'H12', 'signal_type': 'position'}"
14,unknown,Single_SMA_50_D_position,Unknown strategy on D,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'D', 'signal_type': 'position'}"
15,unknown,Single_SMA_50_W_position,Unknown strategy on W,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'W', 'signal_type': 'position'}"
16,unknown,Single_SMA_50_M_position,Unknown strategy on M,,,-5.354446745984506,-0.9999999533467413,0.5023243801652892,1.0105973594713642,7744,-2.041313817695419,"{'ma_type': 'SMA', 'ma_period': 50, 'timeframe': 'M', 'signal_type': 'position'}"
17,unknown,Single_EMA_50_M1_position,Unknown strategy on M1,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M1', 'signal_type': 'position'}"
18,unknown,Single_EMA_50_M2_position,Unknown strategy on M2,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M2', 'signal_type': 'position'}"
19,unknown,Single_EMA_50_M3_position,Unknown strategy on M3,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M3', 'signal_type': 'position'}"
20,unknown,Single_EMA_50_M5_position,Unknown strategy on M5,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M5', 'signal_type': 'position'}"
21,unknown,Single_EMA_50_M10_position,Unknown strategy on M10,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M10', 'signal_type': 'position'}"
22,unknown,Single_EMA_50_M15_position,Unknown strategy on M15,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M15', 'signal_type': 'position'}"
23,unknown,Single_EMA_50_M30_position,Unknown strategy on M30,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M30', 'signal_type': 'position'}"
24,unknown,Single_EMA_50_H1_position,Unknown strategy on H1,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H1', 'signal_type': 'position'}"
25,unknown,Single_EMA_50_H2_position,Unknown strategy on H2,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H2', 'signal_type': 'position'}"
26,unknown,Single_EMA_50_H4_position,Unknown strategy on H4,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H4', 'signal_type': 'position'}"
27,unknown,Single_EMA_50_H6_position,Unknown strategy on H6,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H6', 'signal_type': 'position'}"
28,unknown,Single_EMA_50_H8_position,Unknown strategy on H8,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H8', 'signal_type': 'position'}"
29,unknown,Single_EMA_50_H12_position,Unknown strategy on H12,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'H12', 'signal_type': 'position'}"
30,unknown,Single_EMA_50_D_position,Unknown strategy on D,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'D', 'signal_type': 'position'}"
31,unknown,Single_EMA_50_W_position,Unknown strategy on W,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'W', 'signal_type': 'position'}"
32,unknown,Single_EMA_50_M_position,Unknown strategy on M,,,-5.559078080455561,-0.999999994840112,0.49931287219422815,1.0104424445033788,8731,-2.12376865722739,"{'ma_type': 'EMA', 'ma_period': 50, 'timeframe': 'M', 'signal_type': 'position'}"
33,unknown,Single_WMA_50_M1_position,Unknown strategy on M1,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M1', 'signal_type': 'position'}"
34,unknown,Single_WMA_50_M2_position,Unknown strategy on M2,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M2', 'signal_type': 'position'}"
35,unknown,Single_WMA_50_M3_position,Unknown strategy on M3,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M3', 'signal_type': 'position'}"
36,unknown,Single_WMA_50_M5_position,Unknown strategy on M5,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M5', 'signal_type': 'position'}"
37,unknown,Single_WMA_50_M10_position,Unknown strategy on M10,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M10', 'signal_type': 'position'}"
38,unknown,Single_WMA_50_M15_position,Unknown strategy on M15,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M15', 'signal_type': 'position'}"
39,unknown,Single_WMA_50_M30_position,Unknown strategy on M30,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M30', 'signal_type': 'position'}"
40,unknown,Single_WMA_50_H1_position,Unknown strategy on H1,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'H1', 'signal_type': 'position'}"
41,unknown,Single_WMA_50_H2_position,Unknown strategy on H2,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'H2', 'signal_type': 'position'}"
42,unknown,Single_WMA_50_H4_position,Unknown strategy on H4,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'H4', 'signal_type': 'position'}"
43,unknown,Single_WMA_50_H6_position,Unknown strategy on H6,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'H6', 'signal_type': 'position'}"
44,unknown,Single_WMA_50_H8_position,Unknown strategy on H8,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'H8', 'signal_type': 'position'}"
45,unknown,Single_WMA_50_H12_position,Unknown strategy on H12,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'H12', 'signal_type': 'position'}"
46,unknown,Single_WMA_50_D_position,Unknown strategy on D,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'D', 'signal_type': 'position'}"
47,unknown,Single_WMA_50_W_position,Unknown strategy on W,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'W', 'signal_type': 'position'}"
48,unknown,Single_WMA_50_M_position,Unknown strategy on M,,,-5.850313867564166,-0.999999999748685,0.5009922603691208,1.0090790281733666,10078,-2.239927094926711,"{'ma_type': 'WMA', 'ma_period': 50, 'timeframe': 'M', 'signal_type': 'position'}"
49,unknown,Single_SMA_20_M1_position,Unknown strategy on M1,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M1', 'signal_type': 'position'}"
50,unknown,Single_SMA_20_M2_position,Unknown strategy on M2,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M2', 'signal_type': 'position'}"
51,unknown,Single_SMA_20_M3_position,Unknown strategy on M3,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M3', 'signal_type': 'position'}"
52,unknown,Single_SMA_20_M5_position,Unknown strategy on M5,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M5', 'signal_type': 'position'}"
53,unknown,Single_SMA_20_M10_position,Unknown strategy on M10,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M10', 'signal_type': 'position'}"
54,unknown,Single_SMA_20_M15_position,Unknown strategy on M15,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M15', 'signal_type': 'position'}"
55,unknown,Single_SMA_20_M30_position,Unknown strategy on M30,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M30', 'signal_type': 'position'}"
56,unknown,Single_SMA_20_H1_position,Unknown strategy on H1,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'H1', 'signal_type': 'position'}"
57,unknown,Single_SMA_20_H2_position,Unknown strategy on H2,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'H2', 'signal_type': 'position'}"
58,unknown,Single_SMA_20_H4_position,Unknown strategy on H4,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'H4', 'signal_type': 'position'}"
59,unknown,Single_SMA_20_H6_position,Unknown strategy on H6,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'H6', 'signal_type': 'position'}"
60,unknown,Single_SMA_20_H8_position,Unknown strategy on H8,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'H8', 'signal_type': 'position'}"
61,unknown,Single_SMA_20_H12_position,Unknown strategy on H12,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'H12', 'signal_type': 'position'}"
62,unknown,Single_SMA_20_D_position,Unknown strategy on D,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'D', 'signal_type': 'position'}"
63,unknown,Single_SMA_20_W_position,Unknown strategy on W,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'W', 'signal_type': 'position'}"
64,unknown,Single_SMA_20_M_position,Unknown strategy on M,,,-6.394797957170531,-0.9999999999993208,0.4985831234256927,1.007323045352308,12703,-2.458202558183006,"{'ma_type': 'SMA', 'ma_period': 20, 'timeframe': 'M', 'signal_type': 'position'}"
65,unknown,Single_EMA_20_M1_position,Unknown strategy on M1,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M1', 'signal_type': 'position'}"
66,unknown,Single_EMA_20_M2_position,Unknown strategy on M2,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M2', 'signal_type': 'position'}"
67,unknown,Single_EMA_20_M3_position,Unknown strategy on M3,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M3', 'signal_type': 'position'}"
68,unknown,Single_EMA_20_M5_position,Unknown strategy on M5,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M5', 'signal_type': 'position'}"
69,unknown,Single_EMA_20_M10_position,Unknown strategy on M10,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M10', 'signal_type': 'position'}"
70,unknown,Single_EMA_20_M15_position,Unknown strategy on M15,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M15', 'signal_type': 'position'}"
71,unknown,Single_EMA_20_M30_position,Unknown strategy on M30,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M30', 'signal_type': 'position'}"
72,unknown,Single_EMA_20_H1_position,Unknown strategy on H1,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'H1', 'signal_type': 'position'}"
73,unknown,Single_EMA_20_H2_position,Unknown strategy on H2,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'H2', 'signal_type': 'position'}"
74,unknown,Single_EMA_20_H4_position,Unknown strategy on H4,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'H4', 'signal_type': 'position'}"
75,unknown,Single_EMA_20_H6_position,Unknown strategy on H6,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'H6', 'signal_type': 'position'}"
76,unknown,Single_EMA_20_H8_position,Unknown strategy on H8,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'H8', 'signal_type': 'position'}"
77,unknown,Single_EMA_20_H12_position,Unknown strategy on H12,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'H12', 'signal_type': 'position'}"
78,unknown,Single_EMA_20_D_position,Unknown strategy on D,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'D', 'signal_type': 'position'}"
79,unknown,Single_EMA_20_W_position,Unknown strategy on W,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'W', 'signal_type': 'position'}"
80,unknown,Single_EMA_20_M_position,Unknown strategy on M,,,-6.657144644382498,-0.9999999999999665,0.49900681044267875,1.007349347988333,14095,-2.56305649566446,"{'ma_type': 'EMA', 'ma_period': 20, 'timeframe': 'M', 'signal_type': 'position'}"
81,unknown,Single_WMA_20_M1_position,Unknown strategy on M1,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M1', 'signal_type': 'position'}"
82,unknown,Single_WMA_20_M2_position,Unknown strategy on M2,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M2', 'signal_type': 'position'}"
83,unknown,Single_WMA_20_M3_position,Unknown strategy on M3,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M3', 'signal_type': 'position'}"
84,unknown,Single_WMA_20_M5_position,Unknown strategy on M5,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M5', 'signal_type': 'position'}"
85,unknown,Single_WMA_20_M10_position,Unknown strategy on M10,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M10', 'signal_type': 'position'}"
86,unknown,Single_WMA_20_M15_position,Unknown strategy on M15,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M15', 'signal_type': 'position'}"
87,unknown,Single_WMA_20_M30_position,Unknown strategy on M30,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M30', 'signal_type': 'position'}"
88,unknown,Single_WMA_20_H1_position,Unknown strategy on H1,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'H1', 'signal_type': 'position'}"
89,unknown,Single_WMA_20_H2_position,Unknown strategy on H2,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'H2', 'signal_type': 'position'}"
90,unknown,Single_WMA_20_H4_position,Unknown strategy on H4,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'H4', 'signal_type': 'position'}"
91,unknown,Single_WMA_20_H6_position,Unknown strategy on H6,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'H6', 'signal_type': 'position'}"
92,unknown,Single_WMA_20_H8_position,Unknown strategy on H8,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'H8', 'signal_type': 'position'}"
93,unknown,Single_WMA_20_H12_position,Unknown strategy on H12,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'H12', 'signal_type': 'position'}"
94,unknown,Single_WMA_20_D_position,Unknown strategy on D,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'D', 'signal_type': 'position'}"
95,unknown,Single_WMA_20_W_position,Unknown strategy on W,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'W', 'signal_type': 'position'}"
96,unknown,Single_WMA_20_M_position,Unknown strategy on M,,,-7.039567312523742,-0.9999999999999996,0.49646897068933193,1.0063747584463272,16001,-2.7165331308716305,"{'ma_type': 'WMA', 'ma_period': 20, 'timeframe': 'M', 'signal_type': 'position'}"
97,unknown,Single_SMA_10_M1_position,Unknown strategy on M1,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'M1', 'signal_type': 'position'}"
98,unknown,Single_SMA_10_M2_position,Unknown strategy on M2,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'M2', 'signal_type': 'position'}"
99,unknown,Single_SMA_10_M3_position,Unknown strategy on M3,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'M3', 'signal_type': 'position'}"
100,unknown,Single_SMA_10_M5_position,Unknown strategy on M5,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'M5', 'signal_type': 'position'}"
101,unknown,Single_SMA_10_M10_position,Unknown strategy on M10,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'M10', 'signal_type': 'position'}"
102,unknown,Single_SMA_10_M15_position,Unknown strategy on M15,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'M15', 'signal_type': 'position'}"
103,unknown,Single_SMA_10_M30_position,Unknown strategy on M30,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'M30', 'signal_type': 'position'}"
104,unknown,Single_SMA_10_H1_position,Unknown strategy on H1,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'H1', 'signal_type': 'position'}"
105,unknown,Single_SMA_10_H2_position,Unknown strategy on H2,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'H2', 'signal_type': 'position'}"
106,unknown,Single_SMA_10_H4_position,Unknown strategy on H4,,,-7.4041871570998286,-1.0,0.5012511816715787,1.0056482123221526,17981,-2.861424626505616,"{'ma_type': 'SMA', 'ma_period': 10, 'timeframe': 'H4', 'signal_type': 'position'}"
